naslov,publisher
Shadow Complex,Epic Games

Spelunky,Mossmouth

NBA Street V3,EA Sports Big

Mafia,Gathering

N++,Metanet Software Inc.

Call of Duty: Modern Warfare 3,Activision

What Remains of Edith Finch,Sony Interactive Entertainment

What Remains of Edith Finch,Annapurna Interactive

Brothers in Arms: Road to Hill 30,Ubisoft

Sekiro: Shadows Die Twice,Activision

Deus Ex: Human Revolution - Director's Cut,Square Enix

Madden NFL 06,EA Sports

Dishonored,Bethesda Softworks

LIMBO,PLAYDEAD

Crusader Kings II: The Old Gods,Paradox Interactive

Assassin's Creed: Brotherhood,Ubisoft

Crash Team Racing,SCEA

DJ Hero 2,Activision

Pinball FX 2: Marvel Pinball - Avengers Chronicles,Zen Studios

Medal of Honor Frontline,EA Games

Superbike 2001,EA Sports

Ultimate Fighting Championship,Crave

Wolfenstein II: The New Colossus,Bethesda Softworks

Mario Kart 8,Nintendo

Super Mario Maker,Nintendo

NHL 11,Electronic Arts

Divinity: Original Sin Enhanced Edition,Focus Home Interactive

Divinity: Original Sin Enhanced Edition,Maximum Games

Dead Space,Electronic Arts

Tekken 5,Namco

F.E.A.R.,VU Games

Psychonauts,Majesco Games

The Binding of Isaac: Rebirth,Nicalis

Tony Hawk's Pro Skater 1 + 2,Activision

FIFA 14,EA Sports

NHL 10,EA Sports

BioShock 2,2K Games

Kerbal Space Program,SQUADTeam

Kerbal Space Program,Squad

Tribes 2,Sierra Entertainment

Age of Empires II: The Conquerors Expansion,Microsoft Game Studios

Diddy Kong Racing,Nintendo

Star Fox 64,Nintendo

NHL 09,Electronic Arts

Ori and the Blind Forest: Definitive Edition,Microsoft Game Studios

NieR: Automata,Square Enix

Meteos,Nintendo

Zero Escape: Virtue's Last Reward,Aksys Games

Dishonored 2,Bethesda Softworks

NHL 09,Electronic Arts

Rise of the Tomb Raider: 20 Year Celebration,Square Enix

Hyper Light Drifter,Abylight

NHL 10,EA Sports

Uncharted: Drake's Fortune,SCEA

Ori and the Will of the Wisps,Microsoft Game Studios

The Banner Saga 3,Versus Evil

Tony Hawk's Pro Skater 1 + 2,Activision

Tony Hawk's Pro Skater 1 + 2,Vicarious Visions

Tom Clancy's Rainbow Six Vegas,Ubisoft

Super Street Fighter II Turbo HD Remix,Capcom

Super Street Fighter II Turbo HD Remix,Microsoft

Tiger Woods PGA Tour 2005,EA Sports

Tiger Woods PGA Tour 2004,EA Sports

Warcraft III: The Frozen Throne,Blizzard Entertainment

Tiger Woods PGA Tour 2003,Electronic Arts

Tactics Ogre: The Knight of Lodis,Atlus Co.

Starcraft,Blizzard Entertainment

Assassin's Creed IV: Black Flag,Ubisoft

Battlefield: Bad Company 2,EA Games

The Last of Us: Left Behind,SCEA

Far Cry 3,Ubisoft

Tiger Woods PGA Tour 10,Electronic Arts

DOOM Eternal,Bethesda Softworks

Star Wars Pinball: Balance of the Force,Zen Studios

World Soccer Winning Eleven 8 International,Konami

Fight Night Round 2,EA Sports

The Secret of Monkey Island: Special Edition,LucasArts

Shovel Knight,Yacht Club Games

Rayman Origins,Ubisoft

Project Gotham Racing 3,Microsoft Game Studios

NBA 2K17,2K Games

Battlefield: Bad Company 2,EA Games

The World Ends with You,Square Enix

Torchlight II,Runic Games

XCOM 2,2K Games

Dishonored 2,Bethesda Softworks

What Remains of Edith Finch,Annapurna Interactive

Injustice 2: Legendary Edition,Warner Bros. Interactive Entertainment

Cuphead,Studio MDHR

Divinity: Original Sin Enhanced Edition,Focus Home Interactive

Divinity: Original Sin Enhanced Edition,Maximum Games

Minecraft: Xbox One Edition,Microsoft Game Studios

Guacamelee! Super Turbo Championship Edition,DrinkBox Studios

XCOM: Enemy Within,2K Games

NCAA Football 2005,EA Sports

ESPN NHL Hockey,Sega

NCAA Football 2004,EA Sports

FIFA Soccer 2003,EA Sports

Ratchet & Clank,SCEA

Tiger Woods PGA Tour 2003,EA Sports

TimeSplitters 2,Eidos Interactive

JSRF: Jet Set Radio Future,Sega

Red Faction,THQ

Myth II: Soulblighter,Bungie Software

Myth II: Soulblighter,Bungie

Ninja Gaiden Sigma,Tecmo

Fire Emblem Fates: Special Edition,Nintendo

Pinball FX 2,Microsoft Game Studios

Final Fantasy Tactics: The War of the Lions,Square Enix

NHL 11,Electronic Arts

Wario Land 4,Nintendo

The Elder Scrolls III: Morrowind Game of the Year Edition,Bethesda Softworks

WarioWare: Twisted!,Nintendo

Halo: The Master Chief Collection - Halo 3,Xbox Game Studios

Pokemon Y,Nintendo

Call of Duty: Black Ops,Activision

Return to Castle Wolfenstein,Activision

Ori and the Blind Forest,Microsoft Game Studios

Ori and the Blind Forest: Definitive Edition,Microsoft Game Studios

NCAA Football 07,EA Sports

NBA Street,EA Sports

Madden NFL 2002,EA Sports

Shogo: Mobile Armor Division,Monolith Productions

Thirty Flights of Loving,Blendo Games

The Witcher 2: Assassins of Kings,Warner Bros. Interactive Entertainment

Hearthstone: Heroes of Warcraft,Blizzard Entertainment

Unity of Command II,2x2 Games

Grand Theft Auto: Liberty City Stories,Rockstar Games

The Walking Dead: Episode 3 - Long Road Ahead,Telltale Games

Medieval II: Total War,Sega

Super Mario Maker 2,Nintendo

Apex Legends,Electronic Arts

Sly 2: Band of Thieves,SCEA

Devil May Cry 5,Capcom

Doom 3,Activision

NCAA Football 2005,EA Sports

FIFA Soccer 2003,EA Sports

Aggressive Inline,Acclaim

F1 2002,EA Sports

Tekken: Dark Resurrection,Namco Bandai Games America

Tekken: Dark Resurrection,Namco Bandai Games

The Stanley Parable,Galactic Cafe

The Stanley Parable,"IndieBox, Inc."

Slay the Spire,Humble Bundle

Guacamelee! Gold Edition,DrinkBox Studios

BioShock 2,2K Games

ESPN NHL 2K5,Sega

BioShock 2,2K Games

Counter-Strike: Source,Valve Software

Counter-Strike: Source,VU Games

Fire Emblem,Nintendo

Fire Emblem Fates: Revelation,Nintendo

Sid Meier's Civilization VI,2K Games

Battlefield 1,EA Games

Starcraft II: Legacy of the Void,Blizzard Entertainment

Diablo III,Blizzard Entertainment

F1 2020,Codemasters

Downwell,Devolver Digital

Downwell,Special Reserve Games

Owlboy,Soedesco

Monster Hunter: World,Capcom

Fight Night Round 4,EA Sports

Diablo III: Eternal Collection,Blizzard Entertainment

Oddworld: Stranger's Wrath,EA Games

Rise of Nations: Thrones & Patriots,Microsoft Game Studios

Sid Meier's Pirates!,Atari

Sid Meier's Pirates!,Atari SA

A Short Hike,Whippoorwill Limited

Battlefield: Bad Company 2 Vietnam,EA Games

EVE Online: Special Edition,Atari

EVE Online: Special Edition,Atari SA

SteamWorld Dig 2,Image & Form

Call of Duty: Modern Warfare 3,Activision

FIFA Soccer 11,Electronic Arts

Apex Legends,Electronic Arts

LittleBigPlanet PS Vita,SCEA

Armadillo Run,Peter Stock

FIFA Soccer 13,EA Sports

Ikaruga,Nicalis

World of Warcraft: Legion,Blizzard Entertainment

Pillars of Eternity II: Deadfire,Obsidian Entertainment

Pillars of Eternity II: Deadfire,Versus Evil

DOOM Eternal,Bethesda Softworks

Art of Balance,Shin\'en

MVP Baseball 2005,EA Sports

Keep Talking and Nobody Explodes,Steel Crate Games

Joe Danger: Special Edition,Microsoft Game Studios

Cave Story +,Nicalis

Crimson Skies: High Road to Revenge,Microsoft Game Studios

NASCAR Thunder 2004,Electronic Arts

Burnout 2: Point of Impact,Acclaim

TimeSplitters 2,Eidos Interactive

Dark Age of Camelot,Mythic Entertainment

Baldur's Gate II: Throne of Bhaal,Interplay

Counter-Strike,Sierra Entertainment

Owlboy,D-Pad Studio

The Talos Principle: Deluxe Edition,Devolver Digital

The Talos Principle: Deluxe Edition,Nighthawk Interactive

Battlefield: Bad Company 2 Vietnam,EA Games

Celeste,Matt Makes Games Inc.

Tony Hawk's Pro Skater 4,Aspyr

Night in the Woods,Finji

Night in the Woods,Infinite Fall

Ori and the Blind Forest,Microsoft Game Studios

Need for Speed: Hot Pursuit,Electronic Arts

Pistol Whip,Cloudhead Games

Ridge Racer,Namco

Forza Horizon 4,Microsoft Game Studios

Fight Night Round 2,EA Sports

Nex Machina: Death Machine,Sony Interactive Entertainment

Nioh,Koei Tecmo Games

Nioh,Sony Interactive Entertainment

Animal Crossing: New Leaf,Nintendo

Diablo II,Blizzard Entertainment

Kentucky Route Zero: TV Edition,Annapurna Interactive

Hellblade: Senua's Sacrifice,Ninja Theory

The Walking Dead: Episode 5 - No Time Left,Telltale Games

NBA 2K13,2K Sports

The Witcher 2: Assassins of Kings,Atari

The Witcher 2: Assassins of Kings,Atari SA

Tiger Woods PGA Tour 2005,EA Sports

SSX Tricky,EA Sports Big

Oddworld: Abe's Exoddus,GT Interactive

Plants vs. Zombies,PopCap

Rocksmith 2014 Edition,Ubisoft

Burnout Paradise,Electronic Arts

Guacamelee! Super Turbo Championship Edition,DrinkBox Studios

DOOM 3,Activision

Subnautica,Unknown Worlds Entertainment

Frostpunk: Console Edition,11 bit studios

GRID,Codemasters

Stardew Valley,Chucklefish

Stardew Valley,ConcernedApe

Devil May Cry 5,Capcom

Super Meat Boy,Team Meat

Middle-earth: Shadow of Mordor,Warner Bros. Interactive Entertainment

Halo 4,Microsoft Game Studios

Football Manager 2010,Sega

Final Fantasy XIV: Stormblood,Square Enix

Bloodborne: The Old Hunters,SCEA

XCOM 2,2K Games

Super Street Fighter II Turbo HD Remix,SCEA

Super Street Fighter II Turbo HD Remix,Capcom

Injustice 2,Warner Bros. Interactive Entertainment

SOCOM II: U.S. Navy SEALs,SCEA

The Witness,"Thekla, Inc"

Monster Hunter: World - Iceborne,Capcom

BlazBlue: Calamity Trigger,Aksys Games

Rallisport Challenge 2,Microsoft Game Studios

Oddworld: Abe's Oddysee - New 'n' Tasty,Oddworld Inhabitants

Dead Cells,Motion Twin

Dead Cells,Merge Games

Battlefield 1,Electronic Arts

Battlefield 1,EA Games

Sid Meier's Civilization VI,2K Games

Midnight Club 3: DUB Edition Remix,Rockstar Games

Final Fantasy VII Remake,Square Enix

Dark Souls III,Bandai Namco Games

Monkey Island 2 Special Edition: LeChuck's Revenge,LucasArts

Red Dead Redemption: Undead Nightmare Pack,Rockstar Games

Pokemon White Version,Nintendo

Dragon Quest IX: Sentinels of the Starry Skies,Nintendo

Pokemon X,Nintendo

RimWorld,Ludeon Studios

Tom Clancy's Splinter Cell: Pandora Tomorrow,Ubisoft

Baldur's Gate: Dark Alliance,VU Games

Europa Universalis II,Strategy First

Tony Hawk's Pro Skater 3,Activision

Metropolis Street Racer,Sega

Power Stone 2,Capcom

Cuphead,Studio MDHR

Burnout Paradise: The Ultimate Box,Electronic Arts

FIFA Soccer 09,EA Sports

Jeanne d'Arc,SCEA

Street Fighter V: Arcade Edition,Capcom

Battlefield: Bad Company 2,EA Games

Guacamelee!,DrinkBox Studios

FIFA Soccer 09,EA Sports

Astral Chain,Nintendo

Steins;Gate,Jast

NCAA Football 06,EA Sports

GRID (2008),Codemasters

Night in the Woods,Infinite Fall

DiRT 3,Codemasters

Critter Crunch,Capy Games

Crypt of the NecroDancer,Brace Yourself Games

La-Mulana,EnjoyUp Games

Max Payne 3,Rockstar Games

Pokemon Sun,Nintendo

Sins of a Solar Empire,Stardock

Dragon Ball FighterZ,Bandai Namco Games

The Walking Dead: Season Two Episode 5 - No Going Back,Telltale Games

Ikaruga,Microsoft Game Studios

Heavy Rain,SCEA

Super Monkey Ball 2,Sega

MechWarrior 4: Vengeance,Microsoft Game Studios

Thief II: The Metal Age,Eidos Interactive

Tactics Ogre: Let Us Cling Together,Square Enix

Tom Clancy's Splinter Cell Chaos Theory,Ubisoft

Diablo II: Lord of Destruction,Blizzard Entertainment

Monkey Island 2 Special Edition: LeChuck's Revenge,LucasArts

Half-Life 2: Episode One,EA Games

Devil May Cry 3: Special Edition,Capcom

Guacamelee! 2,DrinkBox Studios

Mass Effect 2: Lair of the Shadow Broker,Electronic Arts

DiRT 3,Codemasters

Enter the Gungeon,Devolver Digital

Enter the Gungeon,Dodge Roll

Syphon Filter: Dark Mirror,SCEA

The Elder Scrolls III: Morrowind,Bethesda Softworks

The Swapper,Facepalm Games

Baba Is You,Hempuli Oy

Pokemon SoulSilver Version,Nintendo

Castlevania: Harmony of Dissonance,Konami

Dragon Ball FighterZ,Bandai Namco Games

The Legend of Zelda: Link's Awakening,Nintendo

Super Mega Baseball 3,Metalhead Software

Hitman 2: Silent Assassin,Eidos Interactive

Assassin's Creed Odyssey,Ubisoft

Year Walk,Simogo

Batman: Arkham Knight,Warner Bros. Interactive Entertainment

Dead or Alive 3,Tecmo

Jak II,SCEA

Mario Kart 8 DLC Pack 1,Nintendo

Final Fantasy Tactics Advance,Nintendo

Kentucky Route Zero: TV Edition,Annapurna Interactive

NCAA Football 06,EA Sports

Red Dead Redemption: Undead Nightmare Pack,Rockstar Games

Red Dead Redemption: Undead Nightmare Pack,Rockstar San Diego

Max Payne 3,Rockstar Games

Marvel's Spider-Man,Sony Interactive Entertainment

Okami HD,Capcom

Pokemon Moon,Nintendo

New Super Mario Bros. Wii,Nintendo

Elite Beat Agents,Nintendo

Beyond Good & Evil,Ubisoft

Paper Mario: The Thousand-Year Door,Nintendo

DJ Hero,Activision

TowerFall Ascension,Matt Makes Games Inc.

Tomb Raider,Square Enix

Hollow Knight,Team Cherry

Mario Kart: Double Dash!!,Nintendo

Rayman Legends,Ubisoft

Battlefield 3: Armored Kill,Electronic Arts

World Series Baseball 2K3,Sega

Metal Gear Solid 2: Substance,Konami

Rallisport Challenge,Microsoft Game Studios

NHL 2002,EA Sports

Bangai-O,Conspiracy Entertainment

Icewind Dale,Interplay

Forza Motorsport 6,Microsoft Game Studios

Donkey Kong Country Returns,Nintendo

Bully,Rockstar Games

Call of Duty: Black Ops,Activision

The Witness,"Thekla, Inc"

Fire Emblem Fates: Conquest,Nintendo

TowerFall Ascension,Matt Makes Games Inc.

Tearaway,SCEA

Skylanders SuperChargers,Activision

Rocket League,505 Games

Rocket League,Psyonix

Metal Gear Solid: Portable Ops,Konami

3D Sonic the Hedgehog 2,Sega

Zack & Wiki: Quest for Barbaros' Treasure,Capcom

Monster Boy and the Cursed Kingdom,FDG Entertainment

The Walking Dead: Episode 3 - Long Road Ahead,Telltale Games

MLB 13: The Show,SCEA

Brothers in Arms: Road to Hill 30,Ubisoft

MechAssault,Microsoft Game Studios

NFL 2K2,Sega

Kohan: Immortal Sovereigns,Strategy First

FIFA 14,EA Sports

Animal Crossing,Nintendo

Hotline Miami,Devolver Digital

BlazBlue: Continuum Shift,Aksys Games

Fight Night Round 4,EA Sports

Kentucky Route Zero: TV Edition,Annapurna Interactive

SteamWorld Heist,Image & Form

The Legend of Zelda: Spirit Tracks,Nintendo

Dead Space 2,Electronic Arts

DiRT 2,Codemasters

Raw Data,Survios

Disgaea: Afternoon of Darkness,NIS America

Pokemon HeartGold Version,Nintendo

DOOM Eternal,Bethesda Softworks

NCAA Football 07,EA Sports

Dragon Age: Origins,Electronic Arts

Beyond Good & Evil,Ubisoft

Diablo III: Reaper of Souls,Blizzard Entertainment

Little King's Story,XSEED Games

Pro Evolution Soccer 2017,Konami

Pro Evolution Soccer 2016,Konami

Titanfall 2,Electronic Arts

Bionic Commando Rearmed,Capcom

Zero Escape: The Nonary Games,Aksys Games

Zero Escape: The Nonary Games,Spike Chunsoft

NASCAR 2005: Chase for the Cup,EA Games

Metal Gear Solid 2: Substance,Konami

NBA 2K3,Sega

Shogun: Total War Warlord Edition,Electronic Arts

Serious Sam: The First Encounter,Gathering

Grand Prix 3,Hasbro Interactive

MVP Baseball 2005,EA Sports

Rayman Origins,Ubisoft

MLB 12: The Show,SCEA

Pokemon Black Version,Nintendo

Wolfenstein II: The New Colossus,Bethesda Softworks

Axiom Verge,Tom Happ

Axiom Verge,Badland Games

Call of Duty: United Offensive,Activision

Odin Sphere Leifthrasir,Atlus

Wipeout HD,SCEA

Huntdown,Coffee Stain Studios

Legends of Runeterra,Riot Games

Divinity: Original Sin,Larian Studios Games

Unavowed,Wadjet Eye Games

Company of Heroes: Opposing Fronts,THQ

3D Out Run,Sega

Katamari Damacy REROLL,Bandai Namco Games

Destiny 2,Activision

Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,Aksys Games

Owlboy,D-Pad Studio

Owlboy,Soedesco

Psychonauts,Majesco Games

Psychonauts,Majesco

DiRT 2,Codemasters

Gears of War,Microsoft Game Studios

Rayman Origins,Ubisoft

Sin & Punishment: Star Successor,Nintendo

Forza Horizon 3: Blizzard Mountain,Microsoft Game Studios

Out of the Park Baseball 4,Out Of The Park Developments

Super Monkey Ball,Sega

Velocity,FuturLab

F1 2019,Codemasters

Pinball FX 2: Star Wars Pinball,Microsoft Game Studios

Spelunky,Microsoft Game Studios

Dark Souls II: Scholar of the First Sin,Bandai Namco Games

Resistance 2,SCEA

INSIDE,PLAYDEAD

flower,SCEA

Europa Universalis IV,Paradox Interactive

Diablo III,Blizzard Entertainment

Persona 4 Golden,Sega

Persona 4 Golden,Atlus

Velocity 2X,FuturLab

Sonic Mania Plus,Sega

XCOM 2,2K Games

NBA 2K16,Take-Two Interactive

NBA 2K16,2K Sports

Pikmin 3,Nintendo

Sunless Skies,Failbetter Games

Total War: WARHAMMER II,Sega

NHL 2004,EA Sports

SSX Tricky,EA Sports Big

Zeus: Master of Olympus,Sierra Entertainment

Driver,GT Interactive

Fight Night Round 2,EA Sports

Dark Souls II: Crown of the Ivory King,Bandai Namco Games

Velocity Ultra,FuturLab

Puzzle Quest: Challenge of the Warlords,Microsoft

Puzzle Quest: Challenge of the Warlords,D3Publisher

Forza Horizon 3: Hot Wheels,Microsoft Game Studios

Hex: Shards of Fate,Gameforge

Hex: Shards of Fate,Cryptozoic Entertainment

World of Warcraft: Warlords of Draenor,Blizzard Entertainment

LittleBigPlanet,SCEA

Okami HD,Capcom

PixelJunk Shooter,SCEA

"Warhammer 40,000: Dawn of War - Dark Crusade",THQ

Dark Cloud 2,SCEA

GRID,Codemasters

West of Loathing,Asymmetric Publications

Tom Clancy's Splinter Cell Pandora Tomorrow,Ubisoft

Iconoclasts,Bifrost Entertainment

Iconoclasts,Bifrost Entertainment

Iconoclasts,Konjak

Fallout 4,Bethesda Softworks

NBA 2K14,2K Sports

Bayonetta,Sega

Ratchet & Clank Future: A Crack in Time,SCEA

ESPN NBA Basketball,Sega

MotoGP 2,THQ

Guilty Gear X2,Sammy Studios

Sonic Advance,Sega

Half-Life,Sierra Entertainment

Commandos 2: Men of Courage,Eidos Interactive

Spider-Man,Activision

Tenchu: Stealth Assassins,Activision

Shin Megami Tensei: Persona 3,Atlus Co.

PixelJunk Monsters Deluxe,SCEA

Forza Horizon 3,Microsoft Game Studios

Tales From The Borderlands: Episode 5 - The Vault of the Traveler,Telltale Games

Unreal Tournament III,Midway

LostWinds: Winter of the Melodias,Frontier Developments

Spelunky 2,Mossmouth

Thumper,drool Games

Thumper,Drool

Bastion,Warner Bros. Interactive Entertainment

The Witness,"Thekla, Inc"

Gone Home,The Fullbright Company

Pac-Man Championship Edition DX +,Namco Bandai Games

Kirby's Epic Yarn,Nintendo

Bomberman Blast,Hudson Soft

DJ Hero 2,Activision

Uncharted: The Nathan Drake Collection,SCEA

The Elder Scrolls IV: Shivering Isles,Bethesda Softworks

Rocket League,Psyonix

Supreme Commander,THQ

Tales from the Borderlands: A Telltale Game Series,Take-Two Interactive

Tales from the Borderlands: A Telltale Game Series,Telltale Games

Total War: Shogun 2 - Fall of the Samurai,Sega

Startopia,Eidos Interactive

NBA Live 2001,EA Sports

Enemy Engaged: RAH-66 Comanche Versus Ka-52 Hokum,Empire Interactive

Silent Hill,Konami

Fallout 2,Interplay

Kirby: Canvas Curse,Nintendo

Burnout Legends,EA Games

Final Fantasy XIV: Heavensward,Square Enix

Football Manager 2013,Sega

Out of the Park Baseball 14,Out Of The Park Developments

ESPN NHL 2K5,Sega

DiRT Rally,Codemasters

The Witcher: Enhanced Edition,Atari

The Witcher: Enhanced Edition,Atari SA

UFC Undisputed 3,THQ

Borderlands: The Secret Armory of General Knoxx,2K Games

Call of Duty 2,Activision

F1 2017,Codemasters

F1 2017,Deep Silver

Astebreed,Active Gaming Media Inc.

Astebreed,Active Gaming Media

Winning Eleven: Pro Evolution Soccer 2007,Konami

Devil May Cry 5: Special Edition,Capcom

Sid Meier's Civilization VI,2K Games

NASCAR 2005: Chase for the Cup,EA Games

Onimusha: Warlords,Capcom

Ground Control,Sierra Entertainment

Cuphead,Studio MDHR

Velocity 2X,FuturLab

Killer Instinct Season 3,Microsoft Game Studios

Valkyria Chronicles,Sega

Pillars of Eternity: Complete Edition,Paradox Interactive

Pillars of Eternity: Complete Edition,505 Games

Shovel Knight,Yacht Club Games

The Messenger,Devolver Digital

Resistance: Fall of Man,SCEA

Boom Blox Bash Party,Electronic Arts

Kentucky Route Zero,Cardboard Computer
